"village","market.name.corrected","vilmrktname"
"kongogo","kongogo","kongogo_kongogo"
"mnkola","mnkola","mnkola_mnkola"
"kigwe","kigwe","kigwe_kigwe"
"lalago","lalago","lalago_lalago"
"nkhome","nkhome","nkhome_nkhome"
"kidinda","kidinda","kidinda_kidinda"
"mwamapalala","mwamapalala","mwamapalala_mwamapalala"
"igaganulwa","dutwa.igaganulwa","igaganulwa_dutwa.igaganulwa"
"kakola","dutwa.kakola","kakola_dutwa.kakola"
"nondwa","nondwa","nondwa_nondwa"
"kitupa","majimoto","kitupa_majimoto"
"makanda","makanda","makanda_makanda"
"mavimba","mavimba","mavimba_mavimba"
"usevya","usevya","usevya_usevya"
"ndagalu","kabila","ndagalu_kabila"
"msisi","msisi","msisi_msisi"
"iputi","iputi","iputi_iputi"
"manawa","misasi","manawa_misasi"
"kinyonga","inyonga","kinyonga_inyonga"
"tanga","tanga","tanga_tanga"
"mpunguzi","mpunguzi","mpunguzi_mpunguzi"
"lukande","lukande","lukande_lukande"
"upanga","upanga","upanga_upanga"
"chalisuka","madibira","chalisuka_madibira"
"muze","muze","muze_muze"
"ntalamila","ntalamila","ntalamila_ntalamila"
"mapogoro","mapogoro","mapogoro_mapogoro"
"mwasamba","mwasamba","mwasamba_mwasamba"
"muungano","muungano","muungano_muungano"
"namhanga","mbenja","namhanga_mbenja"
"imalilosongwe","imalilosongwe","imalilosongwe_imalilosongwe"
"mwenge","mwenge","mwenge_mwenge"
"mtandi.b","mtandi","mtandi.b_mtandi"
"maneme","nanyumbu","maneme_nanyumbu"
"mziha","mziha","mziha_mziha"
"mayamaya","mayamaya","mayamaya_mayamaya"
"itenka.a","itenka","itenka.a_itenka"
"kilda.kona","kilda.kona","kilda.kona_kilda.kona"
"gongoni","gongoni","gongoni_gongoni"
"kilyamatundu","kilyamatundu","kilyamatundu_kilyamatundu"
"mumbaka","mumbaka","mumbaka_mumbaka"
"ihowanza","ihowanza","ihowanza_ihowanza"
"isunta","isunta","isunta_isunta"
"nangaya","nangaya","nangaya_nangaya"
"madeco","madeco","madeco_madeco"
"chiungutwa","chiungutwa","chiungutwa_chiungutwa"
"mbuyuni","mbuyuni","mbuyuni_mbuyuni"
"bahi.sokoni","bahi","bahi.sokoni_bahi"
"minyagala","minyagala","minyagala_minyagala"
"ntungwa","mbao","ntungwa_mbao"
"kimande","kimande","kimande_kimande"
"nanjota","nanjota","nanjota_nanjota"
"idandu","kikurukutu","idandu_kikurukutu"
"ihanga","rujewa","ihanga_rujewa"
"kibaoni","kibaoni","kibaoni_kibaoni"
"mundemu","mundemu","mundemu_mundemu"
"nakarara","makong.onda","nakarara_makong.onda"
"mchauru","mchauru","mchauru_mchauru"
"wanging.ombe","wanging.ombe","wanging.ombe_wanging.ombe"
"nagaga","namalenga","nagaga_namalenga"
"miyomboni","mofu","miyomboni_mofu"
"majembe","mkundi","majembe_mkundi"
"lukuledi","lukuledi","lukuledi_lukuledi"
"sagamaganga","sagamaganga","sagamaganga_sagamaganga"
"kivukoni","chiwale","kivukoni_chiwale"
"utengule.usangu","utengule.usangu","utengule.usangu_utengule.usangu"
"lamaiti","lamaiti","lamaiti_lamaiti"
"mwongozo","nangoo","mwongozo_nangoo"
"chibwini","mwena","chibwini_mwena"
"idiwili","idiwili","idiwili_idiwili"
"kiswago","salamiti","kiswago_salamiti"
"ndomoni","ndomoni","ndomoni_ndomoni"
"tupendane","tulindane","tupendane_tulindane"
"majengo","mtonya","majengo_mtonya"
"kitangari","kitangari","kitangari_kitangari"
"luchingu","luchingu","luchingu_luchingu"
"nangwala","nangwala","nangwala_nangwala"
"mnavira","mnavira","mnavira_mnavira"
"muhesi","muhesi","muhesi_muhesi"
"chikolopola","chikolopola","chikolopola_chikolopola"
"igangwe","shauri.moyo","igangwe_shauri.moyo"
"itete","itete","itete_itete"
"mamba","shinyanga","mamba_shinyanga"
"sibwesa","sibwesa","sibwesa_sibwesa"
